geneID	x	y	MIDCounts
Aos1	55400	107460	1
ArgRS-m	55400	107460	5
Arpc2	55400	107460	1
Atg3	55400	107460	8
Atg4a	55400	107460	5
Atg8a	55400	107460	3
B52	55400	107460	3
Bacc	55400	107460	2
Baldspot	55400	107460	2
Non2	55700	107460	2
vil	55700	107480	1
Syn	55700	107480	1
T48	55700	107480	1
TH1	55700	107480	3
Tapdelta	55700	107480	1
Tctp	55700	107480	2
Thor	55700	107480	3
Tig	55700	107480	1
Top2	55700	107480	1
Trf2	55700	107480	2
Dredd	55720	107700	1
E(spl)m4-BFM	55720	107700	1
E(spl)m7-HLH	55720	107700	1
E(spl)mgamma-HLH	55720	107700	11
EbpIII	55720	107700	1
Fkbp14	55720	107700	11
Fmr1	55720	107700	1
Ggamma1	55720	107700	1
Gli	55720	107700	1
GstE11	55720	107700	1
Psi	55760	107540	1
Ptp61F	55760	107540	1
QIL1	55760	107540	1
REPTOR	55760	107540	3
RNASEK	55760	107540	1
RPA3	55760	107540	1
RabX1	55760	107540	1
RabX4	55760	107540	1
Rala	55760	107540	1
RanGAP	55760	107540	1

