x,y,z,cluster
-5.625,3.2890625,0.7,3
-5.625,4.2890625,0.7,4
-5.625,5.2890625,0.7,3
-4.625,-0.7109375,0.7,3
-4.625,0.2890625,0.7,4
-4.625,1.2890625,0.7,4
-4.625,2.2890625,0.7,4
-4.625,3.2890625,0.7,4
-4.625,4.2890625,0.7,4
-4.625,5.2890625,0.7,4
-3.625,-3.7109375,0.7,3
-3.625,-2.7109375,0.7,4
-3.625,-1.7109375,0.7,4
-3.625,-0.7109375,0.7,4
-3.625,0.2890625,0.7,4
-3.625,1.2890625,0.7,4
-3.625,2.2890625,0.7,4
-3.625,3.2890625,0.7,4
-3.625,4.2890625,0.7,4
-3.625,5.2890625,0.7,4
-3.625,6.2890625,0.7,3
-2.625,-5.7109375,0.7,3
-2.625,-4.7109375,0.7,4
-2.625,-3.7109375,0.7,4
-2.625,-2.7109375,0.7,4
-2.625,-1.7109375,0.7,4
-2.625,-0.7109375,0.7,4
-2.625,0.2890625,0.7,4
-2.625,1.2890625,0.7,4
-2.625,2.2890625,0.7,4
-2.625,3.2890625,0.7,4
-2.625,4.2890625,0.7,4
-2.625,5.2890625,0.7,4
-2.625,6.2890625,0.7,4
-1.625,-5.7109375,0.7,4
-1.625,-4.7109375,0.7,4
-1.625,-3.7109375,0.7,4
-1.625,-2.7109375,0.7,4
-1.625,-1.7109375,0.7,4
-1.625,-0.7109375,0.7,4
-1.625,0.2890625,0.7,4
-1.625,1.2890625,0.7,4
-1.625,2.2890625,0.7,4
-1.625,3.2890625,0.7,4
-1.625,4.2890625,0.7,4
-1.625,5.2890625,0.7,4
-1.625,6.2890625,0.7,4
-1.625,7.2890625,0.7,3
-0.625,-6.7109375,0.7,4
-0.625,-5.7109375,0.7,4
-0.625,-4.7109375,0.7,4
-0.625,-3.7109375,0.7,4
-0.625,-2.7109375,0.7,4
-0.625,-1.7109375,0.7,4
-0.625,-0.7109375,0.7,4
-0.625,0.2890625,0.7,4
-0.625,1.2890625,0.7,4
-0.625,2.2890625,0.7,4
-0.625,3.2890625,0.7,4
-0.625,4.2890625,0.7,4
-0.625,5.2890625,0.7,4
-0.625,6.2890625,0.7,4
-0.625,7.2890625,0.7,3
0.375,-6.7109375,0.7,4
0.375,-5.7109375,0.7,4
0.375,-4.7109375,0.7,4
0.375,-3.7109375,0.7,4
0.375,-2.7109375,0.7,4
0.375,-1.7109375,0.7,4
0.375,-0.7109375,0.7,4
0.375,0.2890625,0.7,4
0.375,1.2890625,0.7,4
0.375,2.2890625,0.7,4
0.375,3.2890625,0.7,4
0.375,4.2890625,0.7,4
0.375,5.2890625,0.7,4
0.375,6.2890625,0.7,4
0.375,7.2890625,0.7,3
1.375,-6.7109375,0.7,4
1.375,-5.7109375,0.7,4
1.375,-4.7109375,0.7,4
1.375,-3.7109375,0.7,4
1.375,-2.7109375,0.7,4
1.375,-1.7109375,0.7,4
1.375,-0.7109375,0.7,4
1.375,0.2890625,0.7,4
1.375,1.2890625,0.7,4
1.375,2.2890625,0.7,4
1.375,3.2890625,0.7,4
1.375,4.2890625,0.7,4
1.375,5.2890625,0.7,4
2.375,-6.7109375,0.7,4
2.375,-5.7109375,0.7,4
2.375,-4.7109375,0.7,4
2.375,-3.7109375,0.7,4
2.375,-2.7109375,0.7,4
2.375,-1.7109375,0.7,4
2.375,-0.7109375,0.7,4
2.375,0.2890625,0.7,4
2.375,1.2890625,0.7,4
2.375,2.2890625,0.7,4
2.375,3.2890625,0.7,4
2.375,4.2890625,0.7,4
3.375,-6.7109375,0.7,4
3.375,-5.7109375,0.7,4
3.375,-4.7109375,0.7,4
3.375,-3.7109375,0.7,4
3.375,-2.7109375,0.7,4
3.375,-1.7109375,0.7,4
3.375,-0.7109375,0.7,4
3.375,0.2890625,0.7,4
3.375,1.2890625,0.7,4
3.375,2.2890625,0.7,4
3.375,3.2890625,0.7,4
4.375,-5.7109375,0.7,4
4.375,-4.7109375,0.7,4
4.375,-3.7109375,0.7,4
4.375,-2.7109375,0.7,4
4.375,-1.7109375,0.7,4
4.375,-0.7109375,0.7,4
4.375,0.2890625,0.7,4
4.375,1.2890625,0.7,4
4.375,2.2890625,0.7,4
5.375,-3.7109375,0.7,3
5.375,-2.7109375,0.7,4
5.375,-1.7109375,0.7,4
5.375,-0.7109375,0.7,4
5.375,0.2890625,0.7,3
5.443434384551501,-7.490182380590463,1.4,4
5.650781946039139,-6.5119150404706305,1.4,3
4.257819482944031,-8.261102159222656,1.4,4
4.465167044431668,-7.282834819102826,1.4,4
4.672514605919306,-6.304567478982993,1.4,4
4.879862167406944,-5.326300138863162,1.4,4
5.087209728894581,-4.34803279874333,1.4,4
5.294557290382219,-3.3697654586234984,1.4,4
5.501904851869856,-2.391498118503667,1.4,4
5.709252413357493,-1.413230778383835,1.4,4
5.916599974845131,-0.43496343826400335,1.4,4
6.123947536332768,0.5433039018558281,1.4,4
3.0722045813365626,-9.032021937854852,1.4,3
3.2795521428242,-8.053754597735018,1.4,4
3.4868997043118375,-7.075487257615187,1.4,4
3.6942472657994747,-6.097219917495356,1.4,4
3.901594827287112,-5.1189525773755244,1.4,4
4.108942388774749,-4.140685237255693,1.4,4
4.316289950262386,-3.162417897135861,1.4,4
4.5236375117500245,-2.1841505570160296,1.4,4
4.730985073237662,-1.2058832168961975,1.4,4
4.938332634725299,-0.22761587677636594,1.4,4
5.145680196212936,0.7506514633434656,1.4,4
5.353027757700574,1.7289188034632972,1.4,3
