Seq	Ks
Juni_05822.t1-Juni_24532.t1	99
Juni_03245.t1-Juni_07672.t1	99
Juni_03693.t1-Juni_16373.t1	3.05724
Juni_18661.t1-Juni_17345.t1	3.76082
Juni_09435.t1-Juni_13432.t1	3.43289
Juni_06186.t1-Juni_17651.t1	3.61291
Juni_08257.t1-Juni_15329.t1	3.37593
Juni_13325.t1-Juni_17388.t1	3.39512
Juni_08198.t1-Juni_11524.t1	3.88063
Juni_11623.t1-Juni_15395.t1	3.69391
Juni_21632.t1-Juni_23842.t1	3.41819
Juni_05026.t1-Juni_08380.t1	2.97389
Juni_00413.t1-Juni_04935.t1	2.99543
Juni_13517.t1-Juni_21083.t1	2.73067
Juni_12131.t1-Juni_16317.t1	2.79815
Juni_09679.t1-Juni_12285.t1	1.69327
Juni_00847.t1-Juni_21612.t1	3.44385
Juni_12319.t1-Juni_16990.t1	3.40595
Juni_03367.t1-Juni_18618.t1	3.01589
Juni_06213.t1-Juni_20198.t1	3.04584
Juni_14875.t1-Juni_24055.t1	3.27896
Juni_26245.t1-Juni_26719.t1	3.12199
Juni_10278.t1-Juni_17439.t1	3.23067
Juni_02329.t1-Juni_17626.t1	2.85777
Juni_26069.t1-Juni_27335.t1	2.50095
Juni_25576.t1-Juni_25577.t1	1.53688
Juni_02723.t1-Juni_16662.t1	2.19195
Juni_26395.t1-Juni_26875.t1	2.67393
Juni_25538.t1-Juni_26474.t1	3.2481
Juni_04446.t1-Juni_09873.t1	1.5085
Juni_01098.t1-Juni_04192.t1	2.51951
Juni_15178.t1-Juni_23313.t1	2.80379
Juni_25799.t1-Juni_27190.t1	2.5169
Juni_02221.t1-Juni_03434.t1	2.5337
Juni_08121.t1-Juni_14022.t1	2.15292
Juni_07101.t1-Juni_07789.t1	2.57961
Juni_17354.t1-Juni_19063.t1	2.06048
Juni_20644.t1-Juni_24532.t1	1.72662
Juni_16817.t1-Juni_21765.t1	2.10229
Juni_17861.t1-Juni_18377.t1	1.44259
Juni_04321.t1-Juni_06039.t1	2.04092
Juni_09119.t1-Juni_17766.t1	1.56313
Juni_11264.t1-Juni_14412.t1	1.88258
Juni_04881.t1-Juni_24052.t1	1.84435
Juni_09790.t1-Juni_22354.t1	1.82931
Juni_25828.t1-Juni_11793.t1	2.01053
Juni_26433.t1-Juni_27508.t1	0.65442
Juni_10567.t1-Juni_22319.t1	1.82208
Juni_05816.t1-Juni_10332.t1	1.56176
Juni_04879.t1-Juni_22836.t1	1.70557
Juni_00574.t1-Juni_00575.t1	1.87347
Juni_26524.t1-Juni_27381.t1	1.63041
Juni_24382.t1-Juni_24385.t1	1.8816
Juni_14139.t1-Juni_14627.t1	1.54884
Juni_25313.t1-Juni_25584.t1	1.5355
Juni_20464.t1-Juni_24172.t1	1.3835
Juni_07187.t1-Juni_08219.t1	1.65516
Juni_01967.t1-Juni_05767.t1	1.46583
Juni_01619.t1-Juni_24565.t1	1.22856
Juni_10626.t1-Juni_13287.t1	1.52583
Juni_16623.t1-Juni_06041.t1	1.20722
Juni_17844.t1-Juni_20648.t1	1.35153
Juni_25855.t1-Juni_26475.t1	1.19964
Juni_03951.t1-Juni_06072.t1	1.14731
Juni_17566.t1-Juni_19557.t1	0.999387
Juni_17664.t1-Juni_18143.t1	0.829308
