Species	Ks
N03_N03	0.0330011
N03_N03	0.054299900000000005
N03_N03	0.022854
N03_N03	0.0409684
N03_N03	
N03_N03	0.0089968
N03_N03	0.07837419999999999
N03_N03	0.0279522
N03_N03	0.024668400000000004
N03_N03	
N03_N03	
N03_N03	0.0343216
N03_N03	0.08664329999999999
N03_N03	0.016949400000000003
N03_N03	0.00507284
N03_N03	0.00632627
N03_N03	0.11549200000000001
N03_N03	
N03_N03	0.06375399999999999
N03_N03	
N03_N03	
N03_N03	0.00910683
N03_N03	0.00505068
N03_N03	
N03_N03	0.0554553
N03_N03	0.573799
N03_N03	0.0339341
N03_N03	0.10468599999999999
N03_N03	0.860449
N03_N03	
N03_N03	
N03_N03	0.0172099
N03_N03	0.0906
N03_N03	0.27327399999999996
N03_N03	
N03_N03	
N03_N03	0.00533825
N03_N03	0.00684871
N03_N03	
N03_N03	0.0673218
N03_N03	0.0125435
N03_N03	
N03_N03	0.00720248
N03_N03	0.0112699
N03_N03	0.526204
N03_N03	
N03_N03	0.0195437
N03_N03	
N03_N03	1.2006
N03_N03	0.0198824
N03_N03	
N03_N03	
N03_N03	0.0167572
N03_N03	0.011450700000000001
N03_N03	0.0502669
N03_N03	0.018468400000000003
N03_N03	0.25604699999999997
N03_N03	0.028466200000000004
N03_N03	0.0360046
N03_N03	
N03_N03	0.05849
N03_N03	0.093359
N03_N03	0.0254385
N03_N03	0.0102175
N03_N03	
N03_N03	3.3735199999999996
N03_N03	
N03_N03	0.0528291
N03_N03	0.042488
N03_N03	
N03_N03	0.018778700000000002
N03_N03	
N03_N03	
N03_N03	0.0475096
N03_N03	
N03_N03	3.36349
N03_N03	0.0187043
N03_N03	
N03_N03	0.01923
N03_N03	0.0147528
N03_N03	0.00848942
N03_N03	0.046852099999999994
N03_N03	
N03_N03	
N03_N03	0.054165099999999994
N03_N03	0.040519900000000005
N03_N03	0.027063599999999997
N03_N03	0.0151608
N03_N03	0.0289565
N03_N03	0.012592
N03_N03	
N03_N03	0.05570599999999999
N03_N03	
N03_N03	0.027718200000000002
N03_N03	
N03_N03	0.0787946
N03_N03	0.0588227
N03_N03	0.012203700000000001
N03_N03	0.0223164
N03_N03	
N03_N03	1.16367
N03_N03	0.0048794
N03_N03	
N03_N03	0.012746299999999999
N03_N03	0.09726810000000001
N03_N03	0.053316300000000004
N03_N03	
N03_N03	0.0882507
N03_N03	
N03_N03	0.0127975
N03_N03	
N03_N03	
N03_N03	0.13081900000000002
N03_N03	0.0524501
N03_N03	0.0778197
N03_N03	
N03_N03	0.0196922
N03_N03	0.0149844
N03_N03	0.0908898
N03_N03	3.21129
N03_N03	
N03_N03	0.0630989
N03_N03	0.0579994
N03_N03	0.0637166
N03_N03	0.112535
N03_N03	
N03_N03	3.28169
N03_N03	
N03_N03	0.44328900000000004
N03_N03	
N03_N03	0.08220989999999999
N03_N03	0.0179634
N03_N03	0.023324200000000003
N03_N03	0.06804500000000001
N03_N03	2.01795
N03_N03	
N03_N03	
N03_N03	0.0506134
N03_N03	0.012018899999999999
N03_N03	
N03_N03	0.0171129
N03_N03	0.143986
N03_N03	0.0342366
N03_N03	0.017559900000000003
N03_N03	0.00833725
N03_N03	0.032076799999999996
N03_N03	0.121222
N03_N03	0.703019
N03_N03	0.00953575
N03_N03	
N03_N03	0.0106258
N03_N03	0.0156668
N03_N03	0.05494169999999999
N03_N03	0.010640799999999999
N03_N03	
N03_N03	0.141225
N03_N03	0.0301472
N03_N03	0.0125519
N03_N03	0.046530199999999994
N03_N03	3.29641
N03_N03	0.0654921
N03_N03	0.0438384
N03_N03	0.0178998
N03_N03	0.0839429
N03_N03	
N03_N03	
N03_N03	0.0636596
N03_N03	0.018468400000000003
N03_N03	
N03_N03	
N03_N03	
N03_N03	
N03_N03	0.052409300000000006
N03_N03	
N03_N03	
N03_N03	1.00824
N03_N03	1.4959799999999999
N03_N03	0.0174736
N03_N03	
N03_N03	
N03_N03	
N03_N03	0.019093000000000002
N03_N03	0.016944499999999998
N03_N03	0.198463
N03_N03	0.0163379
N03_N03	0.071039
N03_N03	0.012431200000000002
N03_N03	0.800888
N03_N03	0.0659862
N03_N03	
N03_N03	
N03_N03	0.0408527
N03_N03	0.435565
N03_N03	
N03_N03	0.067036
N03_N03	0.021915200000000003
N03_N03	0.06098869999999999
N03_N03	
N03_N03	0.050864
N03_N03	0.0231158
N03_N03	0.01248
N03_N03	1.6246200000000002
N03_N03	0.0360336
N03_N03	0.0233364
N03_N03	0.017133199999999998
N03_N03	
N03_N03	
N03_N03	0.0402401
