x1,x2
82.5302,67.9939
14.3821,54.6641
88.9239,14.9664
78.0811,26.0769
78.1597,58.6068
92.0663,15.9227
5.13297,25.5298
39.6308,7.61534
33.3663,14.1365
78.7883,18.8463
63.656,54.0635
72.3982,73.3195
92.8328,33.2703
70.623,38.384
16.5292,43.5746
16.2463,26.4669
67.9572,34.776
18.6688,29.3526
47.1117,4.70575
63.9907,92.6169
96.8361,90.61
78.6783,73.3044
56.9259,67.8146
99.06,11.3276
17.0303,51.0433
30.9613,18.4796
31.6831,17.2731
88.2737,45.8114
27.3219,11.7414
45.3266,65.6739
91.5861,17.1287
20.6419,46.2153
72.1514,71.1514
86.8099,39.7908
27.7898,5.4752
69.4775,64.1699
19.433,45.7363
90.9104,37.3713
97.6515,28.1984
54.5384,79.3867
22.0044,10.3084
12.8979,40.2099
77.5602,10.4155
56.2112,71.9127
87.1044,61.7178
9.92544,9.61463
6.84124,32.7546
67.5323,58.8734
41.0311,87.371
16.7574,38.0319
89.0956,86.0504
59.9135,4.6749
87.9536,13.282
87.055,41.236
41.8303,18.2125
41.5701,10.5022
26.5903,8.85159
25.9145,29.0942
85.8618,47.263
21.0377,10.0698
87.9827,25.3302
61.0101,58.6482
99.0711,15.9059
46.9207,25.6701
90.1048,3.87926
37.6932,5.45134
21.0644,21.1541
7.78297,22.6318
25.4012,16.5653
50.413,71.4448
74.3817,94.5196
81.6671,10.6466
25.9326,36.564
6.31042,12.9968
93.8397,50.1353
36.0024,5.45541
75.3147,80.7824
91.5611,6.76732
95.75,40.9741
80.2405,20.0476
98.8383,19.5209
83.4708,57.3892
94.3973,80.9774
10.7106,34.673
24.4513,23.3146
91.3382,14.4787
10.4731,36.3603
94.161,83.1466
5.20048,53.4814
9.97666,30.8193
35.7224,89.5525
43.2178,92.6669
85.3997,55.9388
23.2441,23.5584
14.5509,24.5432
92.1536,52.0671
96.7051,36.3935
71.3825,52.84
84.6552,47.7478
48.5103,83.7385
8.33765,52.2691
10.1856,17.3249
74.0249,46.8096
63.9715,84.6651
92.7874,14.4752
6.91574,63.5978
34.3494,21.122
71.3039,20.3101
19.8357,12.4823
30.2437,21.3729
89.5595,78.0974
15.2505,14.1801
32.1889,26.6694
74.5156,49.9409
81.3219,67.7558
70.7207,78.8657
21.5906,38.9841
87.2657,28.4644
99.0431,4.33965
32.1376,5.46473
81.9965,47.0313
95.9287,14.9496
95.4817,29.8904
9.07101,55.8818
13.3245,16.8354
30.7053,12.4561
16.4733,20.4422
26.3877,24.9967
14.1318,51.0503
35.3115,19.433
19.8876,33.928
94.7337,20.2537
71.6665,70.4297
14.7552,9.12107
14.3291,32.7366
71.7032,85.6104
81.6287,94.7431
61.6113,7.56238
17.8982,10.3183
13.6103,35.1479
18.1508,14.896
