x1,x2,y
82.5302,67.9939,0
14.3821,54.6641,1
88.9239,14.9664,0
78.0811,26.0769,0
78.1597,58.6068,0
92.0663,15.9227,0
5.13297,25.5298,1
39.6308,7.61534,1
33.3663,14.1365,1
78.7883,18.8463,0
63.656,54.0635,0
72.3982,73.3195,0
92.8328,33.2703,0
70.623,38.384,0
16.5292,43.5746,1
16.2463,26.4669,1
67.9572,34.776,0
18.6688,29.3526,1
47.1117,4.70575,1
63.9907,92.6169,0
96.8361,90.61,0
78.6783,73.3044,0
56.9259,67.8146,0
99.06,11.3276,0
17.0303,51.0433,1
30.9613,18.4796,1
31.6831,17.2731,1
88.2737,45.8114,0
27.3219,11.7414,1
45.3266,65.6739,0
91.5861,17.1287,0
20.6419,46.2153,1
72.1514,71.1514,0
86.8099,39.7908,0
27.7898,5.4752,1
69.4775,64.1699,0
19.433,45.7363,1
90.9104,37.3713,0
97.6515,28.1984,0
54.5384,79.3867,0
22.0044,10.3084,1
12.8979,40.2099,1
77.5602,10.4155,0
56.2112,71.9127,0
87.1044,61.7178,0
9.92544,9.61463,1
6.84124,32.7546,1
67.5323,58.8734,0
41.0311,87.371,0
16.7574,38.0319,1
89.0956,86.0504,0
59.9135,4.6749,1
87.9536,13.282,0
87.055,41.236,0
41.8303,18.2125,1
41.5701,10.5022,1
26.5903,8.85159,1
25.9145,29.0942,1
85.8618,47.263,0
21.0377,10.0698,1
87.9827,25.3302,0
61.0101,58.6482,0
99.0711,15.9059,0
46.9207,25.6701,1
90.1048,3.87926,0
37.6932,5.45134,1
21.0644,21.1541,1
7.78297,22.6318,1
25.4012,16.5653,1
50.413,71.4448,0
74.3817,94.5196,0
81.6671,10.6466,0
25.9326,36.564,1
6.31042,12.9968,1
93.8397,50.1353,0
36.0024,5.45541,1
75.3147,80.7824,0
91.5611,6.76732,0
95.75,40.9741,0
80.2405,20.0476,0
98.8383,19.5209,0
83.4708,57.3892,0
94.3973,80.9774,0
10.7106,34.673,1
24.4513,23.3146,1
91.3382,14.4787,0
10.4731,36.3603,1
94.161,83.1466,0
5.20048,53.4814,1
9.97666,30.8193,1
35.7224,89.5525,0
43.2178,92.6669,0
85.3997,55.9388,0
23.2441,23.5584,1
14.5509,24.5432,1
92.1536,52.0671,0
96.7051,36.3935,0
71.3825,52.84,0
84.6552,47.7478,0
48.5103,83.7385,0
8.33765,52.2691,1
10.1856,17.3249,1
74.0249,46.8096,0
63.9715,84.6651,0
92.7874,14.4752,0
6.91574,63.5978,1
34.3494,21.122,1
71.3039,20.3101,0
19.8357,12.4823,1
30.2437,21.3729,1
89.5595,78.0974,0
15.2505,14.1801,1
32.1889,26.6694,1
74.5156,49.9409,0
81.3219,67.7558,0
70.7207,78.8657,0
21.5906,38.9841,1
87.2657,28.4644,0
99.0431,4.33965,0
32.1376,5.46473,1
81.9965,47.0313,0
95.9287,14.9496,0
95.4817,29.8904,0
9.07101,55.8818,1
13.3245,16.8354,1
30.7053,12.4561,1
16.4733,20.4422,1
26.3877,24.9967,1
14.1318,51.0503,1
35.3115,19.433,1
19.8876,33.928,1
94.7337,20.2537,0
71.6665,70.4297,0
14.7552,9.12107,1
14.3291,32.7366,1
71.7032,85.6104,0
81.6287,94.7431,0
61.6113,7.56238,1
17.8982,10.3183,1
13.6103,35.1479,1
18.1508,14.896,1
22.055,31.2722,1
69.0596,91.1589,0
98.2114,60.0043,0
7.34412,40.9462,1
20.5714,17.0589,1
78.8925,61.9786,0
4.90481,31.0725,1
26.5798,4.51426,1
39.143,5.68881,1
38.905,7.13517,1
29.2729,19.4475,1
2.84906,79.9931,1
23.4461,7.17242,1
94.6977,5.31398,0
94.4305,94.7122,0
80.7376,25.8295,0
37.2281,12.9223,1
20.3002,4.77036,1
18.1665,21.402,1
57.4567,87.5724,0
94.0103,20.7373,0
98.4564,61.4495,0
77.7418,85.5958,0
16.2784,39.7198,1
19.1664,35.3755,1
19.866,25.0124,1
39.3415,87.857,0
9.1135,73.472,1
16.535,45.9843,1
71.3464,37.9004,0
38.4172,5.20863,1
80.2038,4.86698,0
92.9114,65.8002,0
41.8367,20.863,1
31.4602,24.9844,1
22.2611,16.5729,1
79.6864,90.6514,0
91.1717,45.5634,0
94.6307,77.6033,0
92.7711,7.72826,0
35.769,8.82947,1
95.7442,38.5645,0
55.9766,74.8049,0
5.38033,27.9388,1
37.7176,15.5718,1
92.0977,28.9347,0
8.27595,26.727,1
82.926,31.8484,0
8.55766,43.3529,1
79.3954,70.1701,0
94.5033,24.8325,0
86.8902,73.0436,0
86.0841,39.3106,0
15.7726,30.3234,1
90.4401,42.6736,0
77.949,71.3784,0
85.0953,29.9154,0
11.061,79.7324,1
25.3837,9.33642,1
83.1792,36.667,0
89.4227,21.4713,0
9.51452,39.4951,1
88.6235,90.6298,0
59.3571,74.3148,0
51.4251,90.4785,0
8.01811,19.9807,1
57.8764,61.3063,0
30.9474,12.6965,1
93.7408,9.17171,0
90.6624,34.7213,0
93.1675,71.8237,0
73.7933,50.9065,0
34.3209,9.31489,1
37.2107,5.69347,1
51.7022,5.17662,1
84.7978,6.78362,0
51.7196,12.4055,1
46.2758,58.6837,0
6.07237,14.4432,1
