stock_code,revenue,s_fa_eps_basic,du_profit,plus_net_invest_inc,net_cash_flows_oper_act,net_cash_flows_inv_act,net_roe,total_roe,RSI,VOL,WILLR,y,date
000001.SZ,81967996928,1.059999943,0,0,-1.53E+11,-97162002432,8.781299591,0.628899992,52.97020653,0.009827053,-95.65217391,0.035853468,20171207
000002.SZ,1.17E+11,1.004999995,22227724288,2046833792,6474047488,13920355328,9.530500412,1.602599978,52.68832374,0.006181067,-98.72773537,0.028046745,20171207
000008.SZ,1007329280,0.043400001,177634112,0,-99470776,-1193311616,1.952800035,1.523499966,30.7235141,0.002209284,-84.21052632,0.05060241,20171207
000060.SZ,14829187072,0.379999995,1279331712,28539880,757130688,-493275072,8.668399811,4.923799992,38.13360212,0.006967232,-80,0.019249278,20171207
000063.SZ,47757303808,0.930000007,5884933120,-19517000,-3170482944,-4387188224,12.65040016,2.985399961,49.79264347,0.033397623,-81.71896317,0.068517425,20171207
000069.SZ,19368458240,0.576499999,7399213568,172655344,-790051200,-1563466368,9.85779953,2.809299946,49.72543426,0.006569797,-89.61038961,-0.046674446,20171207
000100.SZ,77795565568,0.156100005,5067105792,587666432,5343703040,-17368115200,7.749199867,1.968299985,31.49378723,0.017923039,-88.88888889,-0.04950495,20171207
000157.SZ,17860272128,0.170000002,2543302656,34674676,355669248,-450635104,3.436000109,1.400699973,27.19969787,0.004670418,-82.75862069,0.037647059,20171207
000166.SZ,10163704832,0.180000007,0,99914440,-52114591744,2877383168,6.575399876,1.298400044,38.73218363,0.001322401,-90.47619048,-0.050909091,20171207
000333.SZ,1.17E+11,2.309999943,19692099584,295081984,19037495296,-17770440704,21.05970001,7.801400185,39.72987397,0.005943843,-98.44054581,0.107062894,20171207
000338.SZ,63276335104,0.579999983,8127784960,92365088,1493993728,-3435821824,12.04399967,3.31159997,30.98764686,0.021979641,-92.07920792,0.088274045,20171207
000402.SZ,8465189888,0.479999989,3044215808,-1188294.75,9711706112,-150040544,5.156799793,1.452999949,49.2539253,0.005275811,-54.54545455,-0.020535714,20171207
000413.SZ,7868645888,0.209999993,1802868480,-17629688,1281108992,-607815296,4.481299877,2.337199926,32.49380533,0.013244794,-59.61538462,-0.003181336,20171207
000415.SZ,28153958400,0.3028,8870145024,24926000,1293586048,-17250537472,5.992300034,0.854300022,18.59380551,0.004829146,-85.9375,0.043557169,20171207
000423.SZ,3984673024,1.906000018,1471153664,2880049.25,-717164288,1118895744,13.83850002,11.97389984,31.51849841,0.011207977,-78.10810811,-0.003168779,20171207
000425.SZ,8138475520,0.111000001,1301038592,19294306,1578645248,-1791307392,3.264300108,1.655099988,49.17910144,0.008395732,-72.22222222,0.233695652,20171207
000503.SZ,147514832,-0.171800002,-166575696,-926566.375,-299600512,-41792116,-12.26169968,-11.81029987,100,0.005418207,0,0.339354457,20171207
000538.SZ,18007791616,2.5,3101492480,0,3091585280,-3348455168,14.88790035,10.12829971,29.26963023,0.009087526,-91.03690685,0.067235859,20171207
000540.SZ,40380568,0.352999985,3279746048,0,389897088,-10780910592,10.53759956,2.231600046,0,0,0,,20171207
000559.SZ,8046479360,0.225999996,795350848,64216976,916092416,-237540784,13.04170036,5.837999821,21.21417334,0.006882285,-72.4137931,-0.024058577,20171207
000568.SZ,4284364800,1.417000055,2637221376,69651080,1885889664,4434431.5,13.6402998,12.96500015,38.67423141,0.009996954,-87.89915966,0.075650118,20171207
000623.SZ,1854942592,1.177899957,1407371264,990820352,200698112,646760896,6.845300198,6.482999802,41.48421557,0.018558589,-100,-0.034909412,20171207
000625.SZ,52700127232,1.210000038,5445724160,7561774592,6492595200,1542565760,12.53960037,5.547100067,41.66146379,0.005080121,-80.55555556,-0.028244275,20171207
000627.SZ,146670432,0.200000003,1717029888,0,-5746434560,5663172096,6.007199764,1.37559998,38.93881192,0.011291548,-90.8496732,-0.070615034,20171207
000630.SZ,64949911552,0.037999999,1170177280,55238160,4157829120,312025792,2.314899921,1.238000035,36.7096211,0.005517282,-70,0.04797048,20171207
000651.SZ,83770761216,2.569999933,17985931264,4778716,10051976192,-2378007808,26.37269974,7.70690012,37.24490694,0.012706613,-97.9338843,0.058333333,20171207
000671.SZ,7459073536,0.150000006,1434802688,-12694524,-3783399936,-7424079872,4.203700066,0.42840001,54.00987841,0.009460125,-49.38271605,0.151057402,20171207
000686.SZ,3098792448,0.270000011,0,53068404,-10911888384,597312704,4.058700085,0.930800021,34.66093128,0.005777852,-73.52941176,-0.055495103,20171207
000709.SZ,59111944192,0.207000002,5833185280,31572218,8726127616,-5627825664,4.749400139,1.246600032,36.10798001,0.008269605,-78.125,-0.040100251,20171207
000723.SZ,4371337728,0.208000004,1348961152,0,-247669104,-642106368,11.35130024,7.457600117,5.906055644,0.003783698,-80.39215686,-0.024896266,20171207
000725.SZ,45841907712,0.185000002,9560416256,-9868958,6548148736,-17914918912,7.734499931,3.059700012,39.40776309,0.046064391,-60,0.03046595,20171207
000728.SZ,2402436864,0.300000012,0,50481544,-6821219328,-1209782272,4.262300014,1.214900017,34.14547719,0.006969123,-95.08196721,-0.087394958,20171207
000738.SZ,1849454336,0.160099998,231730288,1294395.125,-10055501,139922112,3.594500065,2.621099949,29.52790201,0.004021824,-56,-0.06396064,20171207
000750.SZ,1388628224,0.129999995,0,0,-6322995200,-40786484,4.027599812,0.881500006,36.3038815,0.003394291,-63.15789474,-0.067307692,20171207
000768.SZ,15360098304,0.045899998,194396880,4217574.5,-267227024,-225037712,0.824800014,0.271100014,47.5883205,0.004846108,-21.73913043,-0.028977273,20171207
000776.SZ,15192289280,0.839999974,0,327580672,-11651042304,-1564033536,7.616099834,1.854099989,43.26391397,0.00636782,-80.8988764,-0.054441261,20171207
000783.SZ,2575720448,0.270000011,0,58442500,-17297448960,-435388128,5.602300167,1.378299952,39.10793811,0.00306792,-94.11764706,-0.102416571,20171207
000792.SZ,7287931392,-0.308400005,449586784,0,136085552,-2166618112,-3.650099993,-0.882099986,34.64144635,0.022881468,-84.36213992,0.122222222,20171207
000826.SZ,5351512064,0.866999984,1320536064,0,-908539456,-2287603200,5.762000084,3.055099964,35.06613912,0.005294278,-76.69491525,-0.018348624,20171207
000839.SZ,1675539200,0.063199997,605510336,136370768,-236033856,-1430910336,3.639899969,1.894500017,31.12458868,0.042651222,-69.06077348,-0.007534984,20171207
000858.SZ,13255639040,1.835000038,9055087616,10147483,10562390016,-101657344,13.75749969,11.32870007,41.8169662,0.008466375,-65.28776978,0.181018799,20171207
000876.SZ,341478784,0.460000008,2919073280,14737100,2058748928,380898336,9.412400246,6.356599808,47.59633621,0.007554231,-69.09090909,-0.023560209,20171207
000895.SZ,38362820608,0.954999983,4308803584,14577501,3938869760,1259351808,23.45770073,15.13220024,35.0159637,0.022472598,-79.60784314,0.05553336,20171207
000898.SZ,25286000640,0.453999996,4207000064,210000000,3339000064,-220000000,6.885300159,3.740099907,41.03744334,0.007152334,-92.77108434,-0.012598425,20171207
000938.SZ,9267794944,1.080000043,2296579328,-502331.0313,533947360,-17044209664,4.5625,4.735799789,45.41783126,0.004847091,-94.10729991,0.093263425,20171207
000959.SZ,12753733632,0.333200008,4271195136,47887148,2935534848,-2856222464,6.896299839,1.905400038,40.86232649,0.002026971,-97.2972973,-0.049019608,20171207
000961.SZ,19206961152,0.108900003,960059072,0,-2261120512,-1808362880,2.935899973,0.360900015,43.5233582,0.003333719,-90,0.035117057,20171207
000963.SZ,11971210240,1.531900048,1943972224,0,463832544,-353733760,18.35969925,10.34119987,32.98171239,0.002944469,-84.66453674,0.074794466,20171207
000983.SZ,8583583744,0.435900003,2914103296,32955700,1037259520,-1502489344,7.557799816,2.763000011,48.24933652,0.01415871,-59.22330097,0.019088017,20171207
001979.SZ,36732006400,0.469999999,6858701824,111631904,-4613691904,-16879822,6.645199776,1.666800022,47.07246807,0.003360772,-98.92473118,0.037817396,20171207
002007.SZ,1406280704,0.665600002,710306112,-8361428.5,218275248,-87424832,13.86559963,12.67329979,45.01162334,0.007983518,-67.48971193,-0.052465897,20171207
002008.SZ,4988820992,1.409999967,1786832000,9476880,73411176,-895083648,21.78660011,11.62160015,44.86681164,0.02604155,-72.14953271,0.0243309,20171207
002024.SZ,1.04E+11,0.07,1054668032,-106692000,-884123008,-30669156352,0.83890003,0.416399986,27.2259338,0.007855585,-29.16666667,-0.002457002,20171207
