FBgn	Symbol	FullName	Symbol_synonym(s)
FBgn0000001	snRNA:4.5S	small nuclear RNA 4.5S	4.5S|4.5SRNA
FBgn0000002	5SrRNA	5S ribosomal RNA	2S rRNA|5S|5S RNA|5S rDNA|5S rRNA|5S-rDNA|5SRNA|5S_DM|5SrDNA|5s rRNA|Dm5S|PZ03068|RNA X|l(2)03068|rRNA
FBgn0000003	7SLRNA:CR32864	Signal recognition particle 7SL RNA CR32864	7 S L RNA|7SL RNA|7SLRNA|CR32864|SRP RNA
FBgn0000008	a	arc	Arc|CG13505|CG6741|arc|bran
FBgn0000009	Abnormal-abdomen	Abnormal abdomen	A|Abnormal
FBgn0000010	aa	anarista	al-b
FBgn0000012	abb	abbreviated	
FBgn0000013	abd	abdominal	a(3)26|a-3
FBgn0000014	abd-A	abdominal A	ABD-A|Abd A|Abd-A|AbdA|Abda|BX-C|CG10325|Cbxd|DmabdA|Dmabda|Fab-3|Fab-4|Hab|abd A|abd-a|abdA|abd_a|abda|iab|iab-2|iab-3|iab-4|iab-5|iab2|iab3|iab4|l(3)89Ec
FBgn0000015	Abd-B	Abdominal B	ABD-B|ABDB|Abd B|Abd-b|Abd0B|AbdB|AbdB(CA)[[26]]|AbdB(CA)[[26]]|AbdB-I|AbdB-II|AbdBm|Abdb|Adb-B|AdbB|BX-C|CG10291|CG11648|DROABDB|DmAbdB|Droabdb|FAB|Fab-6|Fab-7|Fab-8|Fab7|IAB 5|IAB5|IAB7|IAB8|Iab-7|MCP|Mc|Mcp|Sab|Tab|Uab-5[Sab]|Uab-5[Sab]|abd-B|abdB|bex|iab|iab-5|iab-6|iab-7|iab-8|iab-8,9|iab5|iab6|iab7|iab8|iab8.9|iab9|l(3)89Ed|pH189|tuh-3|twig
FBgn0000017	Abl	Abl tyrosine kinase	4674|ABL|Abl1|AblK|Ableson|Am ABL|C-abl|CG4032|D-Abl|D-abl|D-ash|DAbl|DROTKABL3|Dabl|Dash|Ddash/abl|Dsrc7|abl|abl1|c-abl|cAbl|dAbl|l(3)04674|l(3)73Ba|l(3)c-abl
FBgn0000018	abo	abnormal oocyte	ABO|Abo|CG6093
FBgn0000019	abr	abero	
FBgn0000020	abt	abnormal tergites	
FBgn0000021	abw	abnormal wings	
FBgn0000022	ac	achaete	990 E5 F1|AC|AS-C|AS-C T5|AS-C T5ac|ASC|Ac|Achaete|CG3796|EG:125H10.3|Hw|T5|achaete-scute|ascT5|sc/T5
FBgn0000023	acclinal-wing	acclinal wing	acc
